City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port Alfred,-33.5906,26.891,63.18,92,53,1.01,ZA,2022-11-16 19:37:34
1,Broome,42.2506,-75.833,42.71,82,100,9.22,US,2022-11-16 19:37:34
2,Cidreira,-30.1811,-50.2056,74.03,49,0,6.98,BR,2022-11-16 19:37:34
3,Diego De Almagro,-26.3667,-70.05,79.77,26,0,12.37,CL,2022-11-16 19:37:35
4,Ushuaia,-54.8,-68.3,56.82,46,75,13.8,AR,2022-11-16 19:37:35
5,Faanui,-16.4833,-151.75,78.78,76,100,1.19,PF,2022-11-16 19:37:35
6,Nikolskoye,59.7035,30.7861,30.79,88,100,5.1,RU,2022-11-16 19:37:17
7,Ambajogai,18.7333,76.3833,63.43,48,0,2.89,IN,2022-11-16 19:37:35
8,Sola,-13.8833,167.55,72.27,94,14,0.0,VU,2022-11-16 19:37:36
9,Yangambi,0.8102,24.4336,68.99,94,100,1.43,CD,2022-11-16 19:37:36
10,Mahebourg,-20.4081,57.7,73.69,68,75,4.61,MU,2022-11-16 19:37:36
11,Sioux Lookout,50.1001,-91.917,24.87,80,100,2.3,CA,2022-11-16 19:37:37
12,Fallon,39.4735,-118.7774,45.91,50,0,0.0,US,2022-11-16 19:35:37
13,Lavrentiya,65.5833,-171.0,34.34,90,97,21.43,RU,2022-11-16 19:37:37
14,Grand Gaube,-20.0064,57.6608,73.8,66,2,3.0,MU,2022-11-16 19:37:37
15,Te Anau,-45.4167,167.7167,54.45,94,100,0.96,NZ,2022-11-16 19:37:38
16,Tasiilaq,65.6145,-37.6368,32.16,98,100,12.15,GL,2022-11-16 19:37:38
17,Kaitangata,-46.2817,169.8464,53.35,98,100,1.97,NZ,2022-11-16 19:33:48
18,Butaritari,3.0707,172.7902,80.78,79,96,21.23,KI,2022-11-16 19:37:30
19,Hermanus,-34.4187,19.2345,60.8,70,90,4.92,ZA,2022-11-16 19:37:38
20,Castro,-24.7911,-50.0119,71.82,55,2,8.48,BR,2022-11-16 19:37:39
21,Lagoa,39.05,-27.9833,62.82,84,7,15.43,PT,2022-11-16 19:37:39
22,Punta Arenas,-53.15,-70.9167,57.22,44,75,26.46,CL,2022-11-16 19:35:04
23,Mataura,-46.1927,168.8643,58.48,100,100,0.65,NZ,2022-11-16 19:36:01
24,Weihai,37.5017,122.1136,51.22,69,0,8.08,CN,2022-11-16 19:33:44
25,East London,-33.0153,27.9116,68.32,72,87,2.59,ZA,2022-11-16 19:37:39
26,Cabedelo,-6.9811,-34.8339,83.07,68,11,11.03,BR,2022-11-16 19:37:40
27,Novopokrovka,49.8425,36.5477,39.63,96,100,7.02,UA,2022-11-16 19:37:40
28,Atambua,-9.1061,124.8925,75.56,81,100,0.74,ID,2022-11-16 19:37:40
29,Ancud,-41.8697,-73.8203,59.16,76,32,8.19,CL,2022-11-16 19:33:51
30,Lompoc,34.6391,-120.4579,75.02,31,0,1.99,US,2022-11-16 19:37:41
31,Sigiriya,7.9518,80.7426,69.13,92,100,0.74,LK,2022-11-16 19:37:41
32,Chara,56.9064,118.2631,8.29,84,99,0.85,RU,2022-11-16 19:37:41
33,Hilo,19.7297,-155.09,82.26,73,0,4.61,US,2022-11-16 19:37:41
34,Avarua,-21.2078,-159.775,78.85,61,75,13.8,CK,2022-11-16 19:37:42
35,Sayula,19.8667,-103.6167,81.3,32,1,3.44,MX,2022-11-16 19:37:42
36,Saldanha,-33.0117,17.9442,60.58,76,66,18.39,ZA,2022-11-16 19:37:05
37,Asau,46.4333,26.4,44.74,90,93,3.94,RO,2022-11-16 19:37:42
38,Basay,9.4087,122.64,80.2,81,100,10.8,PH,2022-11-16 19:37:42
39,Yellowknife,62.456,-114.3525,0.55,71,20,8.05,CA,2022-11-16 19:37:24
40,Srandakan,-7.9386,110.2506,76.78,89,88,2.51,ID,2022-11-16 19:37:43
41,Hobart,-42.8794,147.3294,49.26,83,75,6.91,AU,2022-11-16 19:37:06
42,Bluff,-46.6,168.3333,58.8,93,100,7.76,NZ,2022-11-16 19:37:43
43,Rikitea,-23.1203,-134.9692,74.08,89,100,25.37,PF,2022-11-16 19:34:17
44,Dalvik,65.9702,-18.5286,42.73,85,99,8.39,IS,2022-11-16 19:37:43
45,Sayyan,15.1718,44.3244,52.9,38,5,4.38,YE,2022-11-16 19:37:44
46,Codrington,-38.2667,141.9667,49.39,83,24,5.77,AU,2022-11-16 19:36:22
47,Pevek,69.7008,170.3133,6.69,96,100,3.27,RU,2022-11-16 19:38:44
48,Busselton,-33.65,115.3333,60.84,64,92,12.73,AU,2022-11-16 19:38:45
49,Albany,42.6001,-73.9662,39.87,85,100,5.01,US,2022-11-16 19:36:13
50,Saint George,37.1041,-113.5841,52.43,29,0,3.44,US,2022-11-16 19:34:25
51,Ilulissat,69.2167,-51.1,-0.58,84,92,5.26,GL,2022-11-16 19:38:45
52,Vaini,-21.2,-175.2,76.62,70,0,2.57,TO,2022-11-16 19:38:45
53,Ipixuna,-1.7625,-48.8043,84.7,67,100,5.23,BR,2022-11-16 19:38:46
54,Cape Town,-33.9258,18.4232,63.27,68,0,14.97,ZA,2022-11-16 19:35:00
55,Pio Xii,-3.8325,-45.1525,90.21,49,62,1.66,BR,2022-11-16 19:38:46
56,Ketchikan,55.3422,-131.6461,43.27,87,0,6.91,US,2022-11-16 19:38:46
57,Malakal,9.5334,31.6605,79.11,31,46,5.41,SS,2022-11-16 19:38:46
58,Bethel,41.3712,-73.414,47.52,75,100,5.75,US,2022-11-16 19:38:47
59,Tessalit,20.1986,1.0114,74.39,14,81,6.87,ML,2022-11-16 19:38:47
60,Kapaa,22.0752,-159.319,78.78,65,40,12.66,US,2022-11-16 19:34:51
61,Ponta Do Sol,32.6667,-17.1,72.72,84,62,7.47,PT,2022-11-16 19:38:47
62,Tongchuan,35.0806,109.0897,44.31,70,0,2.28,CN,2022-11-16 19:38:48
63,Tiksi,71.6872,128.8694,-21.78,99,85,5.75,RU,2022-11-16 19:38:48
64,Letlhakane,-21.4167,25.5833,79.86,24,0,5.99,BW,2022-11-16 19:38:48
65,Paamiut,61.994,-49.6678,15.31,86,51,10.27,GL,2022-11-16 19:38:48
66,Longyearbyen,78.2186,15.6401,26.44,74,40,34.52,SJ,2022-11-16 19:37:31
67,Lebu,-37.6167,-73.65,63.54,75,5,10.58,CL,2022-11-16 19:38:49
68,Maryborough,-25.5333,152.7,60.39,43,65,4.41,AU,2022-11-16 19:38:49
69,Domoni,-12.2569,44.5319,76.62,85,30,5.03,KM,2022-11-16 19:38:49
70,Qaanaaq,77.484,-69.3632,-1.19,98,100,3.04,GL,2022-11-16 19:35:55
71,Xinyu,27.8043,114.9334,58.82,89,96,2.06,CN,2022-11-16 19:38:49
72,Council Bluffs,41.2619,-95.8608,29.52,63,75,18.41,US,2022-11-16 19:36:26
73,Georgetown,5.4112,100.3354,80.24,93,40,2.3,MY,2022-11-16 19:35:09
74,Poso,-1.3959,120.7524,77.76,82,100,3.91,ID,2022-11-16 19:38:50
75,Tuktoyaktuk,69.4541,-133.0374,12.2,85,75,6.91,CA,2022-11-16 19:38:44
76,Los Llanos De Aridane,28.6585,-17.9182,71.13,29,20,8.99,ES,2022-11-16 19:38:50
77,High Level,58.5169,-117.136,15.91,73,20,11.5,CA,2022-11-16 19:35:02
78,Jamestown,42.097,-79.2353,35.24,72,100,16.11,US,2022-11-16 19:38:50
79,Mackay,-21.15,149.2,65.68,57,56,18.43,AU,2022-11-16 19:38:51
80,Atuona,-9.8,-139.0333,77.81,75,3,13.6,PF,2022-11-16 19:38:51
81,Touros,-5.1989,-35.4608,80.71,65,8,13.06,BR,2022-11-16 19:38:51
82,Grindavik,63.8424,-22.4338,46.35,87,75,20.71,IS,2022-11-16 19:38:52
83,Atar,20.5169,-13.0499,81.46,20,15,10.09,MR,2022-11-16 19:38:52
84,Airai,-8.9266,125.4092,61.2,91,100,1.12,TL,2022-11-16 19:38:52
85,Omsukchan,62.5333,155.8,-16.24,97,100,4.27,RU,2022-11-16 19:38:52
86,Acapulco,16.8634,-99.8901,87.62,58,75,8.05,MX,2022-11-16 19:34:11
87,La Ronge,55.1001,-105.2842,19.65,79,100,18.41,CA,2022-11-16 19:38:53
88,Viesca,25.35,-102.8,62.17,44,100,6.33,MX,2022-11-16 19:38:53
89,Pozo Colorado,-23.4923,-58.7972,89.85,26,0,9.28,PY,2022-11-16 19:38:53
90,Buala,-8.145,159.5921,80.17,76,100,0.81,SB,2022-11-16 19:39:54
91,Katsuura,35.1333,140.3,57.36,68,45,15.52,JP,2022-11-16 19:39:54
92,Dzaoudzi,-12.7887,45.2699,78.69,78,0,5.75,YT,2022-11-16 19:39:54
93,Chuy,-33.6971,-53.4616,74.32,54,2,8.55,UY,2022-11-16 19:39:54
94,Manzanillo,20.3433,-77.1167,90.37,50,42,10.8,CU,2022-11-16 19:39:55
95,Lorengau,-2.0226,147.2712,80.26,70,100,5.19,PG,2022-11-16 19:39:55
96,Great Yarmouth,52.6083,1.7305,54.01,81,100,26.11,GB,2022-11-16 19:39:55
97,Zabid,14.1951,43.3152,78.13,67,20,5.06,YE,2022-11-16 19:39:56
98,Tulun,54.5611,100.5792,22.59,78,66,4.7,RU,2022-11-16 19:39:56
99,Adeje,28.1227,-16.726,76.08,66,0,8.05,ES,2022-11-16 19:39:56
100,Bengkulu,-3.8004,102.2655,74.55,97,100,15.48,ID,2022-11-16 19:39:56
101,Esperance,-33.8667,121.9,61.83,66,100,22.5,AU,2022-11-16 19:39:57
102,Coahuayana,18.7333,-103.6833,89.46,51,0,6.62,MX,2022-11-16 19:39:57
103,Yanam,16.7333,82.2167,68.4,71,4,3.11,IN,2022-11-16 19:39:57
104,Mar Del Plata,-38.0023,-57.5575,78.84,66,75,12.66,AR,2022-11-16 19:36:56
105,Half Moon Bay,37.4636,-122.4286,68.11,27,0,9.22,US,2022-11-16 19:39:58
106,Barcelos,41.5388,-8.6151,62.92,94,100,11.34,PT,2022-11-16 19:39:58
107,Sitka,57.0531,-135.33,46.29,87,20,4.61,US,2022-11-16 19:39:58
108,Vanino,49.0869,140.2543,18.73,80,3,4.88,RU,2022-11-16 19:37:58
109,San Carlos De Bariloche,-41.1456,-71.3082,67.75,34,20,18.41,AR,2022-11-16 19:39:58
110,Vulcan,45.3833,23.2667,44.67,86,100,3.56,RO,2022-11-16 19:39:59
111,Namibe,-15.1961,12.1522,68.11,78,34,4.94,AO,2022-11-16 19:39:59
112,Bud,39.447,-86.1758,36.68,81,100,14.32,US,2022-11-16 19:39:59
113,Qaqortoq,60.7167,-46.0333,12.13,89,60,6.55,GL,2022-11-16 19:39:59
114,Marktoberdorf,47.7833,10.6167,41.09,84,40,2.3,DE,2022-11-16 19:40:00
115,Saint-Philippe,-21.3585,55.7679,67.59,73,39,6.4,RE,2022-11-16 19:36:15
116,Fortuna,40.5982,-124.1573,59.99,69,0,3.44,US,2022-11-16 19:40:00
117,Grand-Santi,4.25,-54.3833,92.07,40,100,2.82,GF,2022-11-16 19:40:00
118,Ridgecrest,35.6225,-117.6709,63.64,14,0,7.0,US,2022-11-16 19:40:01
119,Chokurdakh,70.6333,147.9167,-26.84,100,93,3.89,RU,2022-11-16 19:38:42
120,Samarai,-10.6167,150.6667,82.22,80,99,10.69,PG,2022-11-16 19:40:01
121,Muli,2.9167,73.5667,80.82,79,77,11.45,MV,2022-11-16 19:40:02
122,Mareeba,-17.0,145.4333,68.43,96,3,2.04,AU,2022-11-16 19:40:02
123,Puerto Escondido,15.85,-97.0667,86.83,58,40,5.75,MX,2022-11-16 19:40:02
124,Matina,10.0761,-83.2895,80.47,70,100,4.0,CR,2022-11-16 19:40:03
125,Aklavik,68.2191,-135.0107,8.6,85,75,2.3,CA,2022-11-16 19:40:04
126,Acari,-15.4311,-74.6158,77.14,52,77,10.18,PE,2022-11-16 19:40:04
127,Leningradskiy,69.3833,178.4167,7.54,90,100,4.65,RU,2022-11-16 19:40:04
128,Coruripe,-10.1256,-36.1756,79.02,77,97,11.25,BR,2022-11-16 19:40:05
129,Arraial Do Cabo,-22.9661,-42.0278,76.96,83,75,12.66,BR,2022-11-16 19:40:05
130,Mount Gambier,-37.8333,140.7667,47.28,82,76,1.12,AU,2022-11-16 19:40:06
131,Lakes Entrance,-37.8811,147.981,49.15,77,56,11.81,AU,2022-11-16 19:40:06
132,Dzhalil,55.0239,52.7358,16.75,96,100,3.98,RU,2022-11-16 19:40:06
133,Kodiak,57.79,-152.4072,44.11,93,100,17.27,US,2022-11-16 19:41:07
134,Tsaratanana,-16.7833,47.65,74.16,79,98,7.25,MG,2022-11-16 19:41:07
135,Ust-Nera,64.5667,143.2,-15.77,97,99,2.77,RU,2022-11-16 19:41:07
136,Aborlan,9.4352,118.5492,79.5,86,100,5.53,PH,2022-11-16 19:41:08
